name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
Sz111,0.6050185792349728,0.52,3705,0.21,-9.473,-2.4,72.8502,158.37,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.6050185792349728,1.2030612942513664e+30,1.523954248878788e+24,1.2667303454618286e-06
J16085529-3848481,0.0826083060109289,0.071,2935,0.048,-10.6,-4.31,155.61,,,young_stellar_objects,somers_2020_spots,0.17,0.0826083060109289,1.642641382535518e+29,1.8748733205424137e+22,1.1413771383553186e-07
Sz112,0.1582356284153006,0.136,3125,0.118,-9.82,-3.39,15.93,159.3,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1582356284153006,3.1464680003497275e+29,1.559451703434143e+23,4.956197562666492e-07
Sz113,0.1582356284153006,0.136,3197,0.038,-8.99,-2.28,12.8424,160.53,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1582356284153006,3.1464680003497275e+29,2.0089629578361304e+24,6.384819288207716e-06
J16090141-3925119,0.2303724590163934,0.198,3270,0.093,-9.893,-3.17,78.008,159.2,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2303724590163934,4.5808872358032776e+29,2.5880456298005065e+23,5.6496602002618e-07
Sz115,0.1780150819672131,0.153,3197,0.107,-9.448,-2.91,155.82,,,young_stellar_objects,somers_2020_spots,0.17,0.1780150819672131,3.5397765003934425e+29,4.709468854669795e+23,1.3304424316468406e-06
J16092697-3836269,0.1733610928961748,0.149,3200,0.069,-8.108,-1.5,159.19,,,young_stellar_objects,somers_2020_spots,0.17,0.1733610928961748,3.447233323912567e+29,1.2105198883124555e+25,3.5115693501666736e-05
Sz117,0.2757488524590164,0.237,3340,0.274,-8.88,-2.3,12.556,156.95,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2757488524590164,5.483183206491804e+29,1.918544730325199e+24,3.4989615668025497e-06
Sz118,1.0215506010928963,0.878,4350,0.698,-9.11,-1.97,59.7402,161.46,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,1.0215506010928963,2.0313227237551915e+30,4.101775900449558e+24,2.0192635333034805e-06
J16095628-3859518,0.066319344262295,0.057,2990,0.02,-10.7,-4.31,15.707,157.07,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.066319344262295,1.3187402648524572e+29,1.8748733205424137e+22,1.4217153828636435e-07
J16101857-3836125,0.111695737704918,0.096,3125,0.04,-10.49,-4.0,160.6,,,young_stellar_objects,somers_2020_spots,0.17,0.111695737704918,2.221036235540983e+29,3.828000000000001e+22,1.7235198322046311e-07
J16101984-3836065,0.0709733333333333,0.061,2935,0.04,-10.35,-4.1,106.3692,158.76,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0709733333333333,1.4112834413333328e+29,3.0406884825245522e+22,2.1545554872037703e-07
J16102955-3922144,0.1780150819672131,0.153,3200,0.106,-9.923,-3.38,30.4836,160.44,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1780150819672131,3.5397765003934425e+29,1.5957759999244443e+23,4.508126430431626e-07
Sz123B,0.4502734426229509,0.387,3560,0.029,-10.23,-2.9,158.5,,,young_stellar_objects,somers_2020_spots,0.17,0.4502734426229509,8.95355232452459e+29,4.8191664763480734e+23,5.382407229751637e-07
Sz123A,0.6480679781420766,0.557,3705,0.136,-9.177,-2.0,162.19,,,young_stellar_objects,somers_2020_spots,0.17,0.6480679781420766,1.288663732496175e+30,3.828e+24,2.970518920855377e-06
