sub_realm,group,system,mass_kg,er_w,power_density_w_per_kg,comments,reference,segment,color,data_source
i) archaea,Archaea: growth,,1e-15,4.9e-14,49.0,idem,,Prokaryotes,#946B3A,van Duin (2024)
i) archaea,methanogens,,1e-15,1.5e-20,1.5e-05,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Proteobacteria: EMR,lower,2e-16,7.4e-15,37.0,"data for bacteria classes: lower wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; lower, endogenous ERin calculated by multiplying lower, endogenous metabolic rate in W/kg wet mass by mass in pg","A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Proteobacteria: EMR,upper,2e-11,6e-12,0.3,"data for bacteria classes: upper wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; upper, endogenous ERin calculated by multiplying upper, endogenous metabolic rate in W/kg wet mass by mass in pg",   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Firmicutes: EMR,lower,1.4e-17,3.08e-16,22.0,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Firmicutes: EMR,upper,3.7e-15,6.66e-16,0.18,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Francisella tularensis,,1e-17,9.9e-18,0.99,wet cell mass in g; endogenous metabolic rate as ERin,"J.P. DeLong et al., “Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life”, Proc. Natl. Acad. Sci. U.S.A., 107 (2010) 12941.",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Actinobacteria: EMR,lower,2e-16,2.2e-15,11.0,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Actinobacteria: EMR,upper,2.5e-15,2.5e-16,0.1,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Aerobacter aerogenes,4e-16,3.48e-15,8.71,wet mass in pg; ERin calculated by multiplying specific endogenous metabolic rate by wet mass,"M. Popovic, ""Thermodynamic properties of microorganisms in Heliyon"", 5 (2019) e01950; original data from A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Bacillus cereus,3.7e-15,8.11e-14,21.9,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Escherichia coli,7e-16,3.65e-15,5.22,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Escherichia coli K-12,7e-16,9.8e-15,14.0,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Escherichia coli W,7e-16,2.94e-15,4.2,,,Prokaryotes,#946B3A,van Duin (2024)
