name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,dubus_table
FO Aql,cataclysmic_variables,gravitational,1.0936585000000001e+30,0.55,40000000000000.0,9340292.110797748,,8.257121675e+26,0.0007549999999999999,tabulated_erd,,,,
FO Aql,cataclysmic_variables,nuclear,1.0936585000000001e+30,0.55,40000000000000.0,9340292.110797748,0.007,2.516514500463089e+28,0.02301005753133258,computed_from_mdot,2.187317e+29,0.014381285957082861,0.035953214892707155,A2
FO Per,cataclysmic_variables,gravitational,7.95388e+29,0.4,360000000000000.0,10386311.84725792,,7.428923920000001e+27,0.009340000000000001,tabulated_erd,,,,
FO Per,cataclysmic_variables,nuclear,7.95388e+29,0.4,360000000000000.0,10386311.84725792,0.007,2.2648630504167802e+29,0.28474946195024065,computed_from_mdot,1.590776e+29,0.17137699098857076,0.45480816839274546,A2
FS Aur,cataclysmic_variables,gravitational,1.0936585000000001e+30,0.55,22000000000000.0,9340292.110797748,,4.5386827750000006e+26,0.000415,tabulated_erd,,,,
FS Aur,cataclysmic_variables,nuclear,1.0936585000000001e+30,0.55,22000000000000.0,9340292.110797748,0.007,1.3840829752546991e+28,0.012655531642232919,computed_from_mdot,2.187317e+29,0.00767001917711086,0.020133800339916005,A2
FT Cam,cataclysmic_variables,gravitational,1.4913525e+30,0.75,125000000000.0,8422886.219205303,,2.5800398249999993e+24,1.7299999999999997e-06,tabulated_erd,,,,
FT Cam,cataclysmic_variables,nuclear,1.4913525e+30,0.75,125000000000.0,8422886.219205303,0.007,7.864107813947154e+25,5.273138184263717e-05,computed_from_mdot,2.982705e+29,3.1638829105582296e-05,8.437021094821947e-05,A2
GD 552,cataclysmic_variables,gravitational,1.5311219e+30,0.77,70000000000.0,8349320.13667669,,1.4438479517e+24,9.429999999999999e-07,tabulated_erd,,,,
GD 552,cataclysmic_variables,nuclear,1.5311219e+30,0.77,70000000000.0,8349320.13667669,0.007,4.403900375810406e+25,2.876257191416572e-05,computed_from_mdot,2.982705e+29,1.3756012654600997e-05,5.103036952513273e-05,A2
GY Cnc,cataclysmic_variables,gravitational,1.9685853e+30,0.99,13000000000000.0,7678380.393807681,,2.677276008e+26,0.000136,tabulated_erd,,,,
GY Cnc,cataclysmic_variables,nuclear,1.9685853e+30,0.99,13000000000000.0,7678380.393807681,0.007,8.17867212650504e+27,0.004154593720935049,computed_from_mdot,2.3861639999999997e+29,0.003135379460913561,0.005454970535445224,A2
HL CMa,cataclysmic_variables,gravitational,1.6504300999999998e+30,0.83,175000000000000.0,8143079.180132048,,3.614441918999999e+27,0.0021899999999999997,tabulated_erd,,,,
HL CMa,cataclysmic_variables,nuclear,1.6504300999999998e+30,0.83,175000000000000.0,8143079.180132048,0.007,1.1009750939526016e+29,0.06670837462020365,computed_from_mdot,1.98847e+29,0.04422632025511505,0.0953498959346316,A2
HM Leo,cataclysmic_variables,gravitational,1.4913525e+30,0.75,2850000000000.0,8422886.219205303,,5.87592885e+25,3.94e-05,tabulated_erd,,,,
HM Leo,cataclysmic_variables,nuclear,1.4913525e+30,0.75,2850000000000.0,8422886.219205303,0.007,1.7930165815799512e+27,0.0012022755060121274,computed_from_mdot,2.982705e+29,0.00042185105474109723,0.002372912182918673,A2
HS Vir,cataclysmic_variables,gravitational,1.3521596e+30,0.68,2900000000000.0,8702520.41881313,,5.990067028e+25,4.43e-05,tabulated_erd,,,,
