name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
J16092697-3836269,young_stellar_objects,,3.447233323912567e+29,3.5115693501666736e-05,1.2105198883124555e+25,,0.1733610928961748,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz117,young_stellar_objects,,5.483183206491804e+29,3.4989615668025497e-06,1.918544730325199e+24,,0.2757488524590164,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz118,young_stellar_objects,,2.0313227237551915e+30,2.0192635333034805e-06,4.101775900449558e+24,,1.0215506010928963,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16095628-3859518,young_stellar_objects,,1.3187402648524572e+29,1.4217153828636435e-07,1.8748733205424137e+22,,0.066319344262295,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16101857-3836125,young_stellar_objects,,2.221036235540983e+29,1.7235198322046311e-07,3.828000000000001e+22,,0.111695737704918,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J16101984-3836065,young_stellar_objects,,1.4112834413333328e+29,2.1545554872037703e-07,3.0406884825245522e+22,,0.0709733333333333,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16102955-3922144,young_stellar_objects,,3.5397765003934425e+29,4.508126430431626e-07,1.5957759999244443e+23,,0.1780150819672131,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz123B,young_stellar_objects,,8.95355232452459e+29,5.382407229751637e-07,4.8191664763480734e+23,,0.4502734426229509,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz123A,young_stellar_objects,,1.288663732496175e+30,2.970518920855377e-06,3.828e+24,,0.6480679781420766,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J16124373-3815031,young_stellar_objects,,1.0873823236502732e+30,2.2729488377627632e-06,2.4715643887446614e+24,,0.5468437158469945,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16134410-3736462,young_stellar_objects,,2.221036235540983e+29,5.577200852938356e-06,1.2387165187266164e+24,,0.111695737704918,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
AKC2006-18,young_stellar_objects,,1.0179749412896162e+29,9.445715085714521e-08,9.61550125981868e+21,,0.0511938797814207,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J154518.5-342125,young_stellar_objects,,1.434419235453552e+29,1.368660799712565e-07,1.9632333779189444e+22,,0.0721368306010929,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Lup706,young_stellar_objects,,9.948391471693989e+28,3.847858230038245e-08,3.8280000000000005e+21,,0.0500303825136612,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
SONYC-Lup3-7,young_stellar_objects,,5.321232647650264e+28,1.016154353484921e-07,5.407193720815909e+21,,0.0267604371584699,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J10555973-7724399,young_stellar_objects,,1.811532679613115e+30,1.6029713346556245e-05,2.9038349572117147e+25,,0.9110183606557378,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J10563044-7711393,young_stellar_objects,,1.6218191678273225e+30,1.790480107040448e-06,2.9038349572117147e+24,,0.8156115846994536,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J10580597-7711501,young_stellar_objects,,1.6195055884153006e+29,2.713872736549638e-08,4.3951320630900634e+21,,0.0814448087431694,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
